HPSA Name,Designation Type,HPSA Score,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,Common County Name,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State Name,County Equivalent Name,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Region Alias
Accomack/Northampton Counties,Geographic HPSA,13,Designated,2020-09-21,2021-09-10,11.775,43854.0,18.7,3724:1,Rural,"Accomack County, VA",Region 3,VA,51001,Virginia,Accomack,41212.0,2642.0,3500:1,0.755,Mid Atlantic
Essex/Richmond,Geographic HPSA,10,Proposed For Withdrawal,2006-04-10,2021-09-10,4.21,18210.0,12.5,4325:1,Rural,"Richmond County, VA",Region 3,VA,51159,Virginia,Richmond,14735.0,3475.0,3500:1,0.99,Mid Atlantic
Essex/Richmond,Geographic HPSA,10,Proposed For Withdrawal,2006-04-10,2021-09-10,4.21,18210.0,12.5,4325:1,Rural,"Essex County, VA",Region 3,VA,51057,Virginia,Essex,14735.0,3475.0,3500:1,0.99,Mid Atlantic
Nelson County,Geographic HPSA,8,Proposed For Withdrawal,2020-09-21,2021-09-10,3.3,14670.0,12.3,4445:1,Rural,"Nelson County, VA",Region 3,VA,51125,Virginia,Nelson,11550.0,3120.0,3500:1,0.89,Mid Atlantic
Ward County,Geographic HPSA,17,Designated,2017-09-20,2021-09-10,0.9,11552.0,12.5,12836:1,Rural,"Ward County, TX",Region 6,TX,48475,Texas,Ward,3150.0,8402.0,3500:1,2.4,South Central
Armstrong County,Geographic HPSA,11,Designated,1979-08-10,2021-09-10,0.0,1900.0,9.1,,Rural,"Armstrong County, TX",Region 6,TX,48011,Texas,Armstrong,0.0,1900.0,3500:1,0.54,South Central
Archer County,Geographic HPSA,16,Designated,1979-09-17,2021-09-10,0.0,8647.0,11.9,,Partially Rural,"Archer County, TX",Region 6,TX,48009,Texas,Archer,0.0,8647.0,3500:1,2.47,South Central
Coke County,Geographic HPSA,14,Designated,2020-01-29,2021-09-10,0.0,3173.0,12.5,,Rural,"Coke County, TX",Region 6,TX,48081,Texas,Coke,0.0,3173.0,3500:1,0.91,South Central
Kleberg County,High Needs Geographic HPSA,10,Designated,2021-07-02,2021-07-02,9.5,29084.0,27.1,3061:1,Rural,"Kleberg County, TX",Region 6,TX,48273,Texas,Kleberg,28500.0,584.0,3000:1,0.19,South Central
Leon County,Geographic HPSA,15,Designated,2021-07-02,2021-07-02,0.0,17129.0,17.6,,Rural,"Leon County, TX",Region 6,TX,48289,Texas,Leon,0.0,17129.0,3500:1,4.89,South Central
Zapata County,High Needs Geographic HPSA,19,Designated,1979-06-07,2021-09-10,0.45,14149.0,34.5,31442:1,Rural,"Zapata County, TX",Region 6,TX,48505,Texas,Zapata,1350.0,12799.0,3000:1,4.27,South Central
Cochran County,Geographic HPSA,18,Designated,2019-11-19,2021-09-10,0.25,2856.0,25.5,11424:1,Rural,"Cochran County, TX",Region 6,TX,48079,Texas,Cochran,875.0,1981.0,3500:1,0.57,South Central
Trinity County,Geographic HPSA,16,Designated,2020-02-28,2021-09-10,1.0,14449.0,15.5,14449:1,Rural,"Trinity County, TX",Region 6,TX,48455,Texas,Trinity,3500.0,10949.0,3500:1,3.13,South Central
Sabine County,High Needs Geographic HPSA,16,Designated,1978-06-12,2021-09-10,1.4,10326.0,20.1,7376:1,Rural,"Sabine County, TX",Region 6,TX,48403,Texas,Sabine,4200.0,6126.0,3000:1,2.04,South Central
Bee County,High Needs Geographic HPSA,13,Designated,1979-05-31,2021-09-10,5.8,24846.0,20.6,4284:1,Rural,"Bee County, TX",Region 6,TX,48025,Texas,Bee,17400.0,7446.0,3000:1,2.48,South Central
Sterling County,Geographic HPSA,8,Designated,1994-01-18,2021-07-02,0.0,1194.0,2.4,,Rural,"Sterling County, TX",Region 6,TX,48431,Texas,Sterling,0.0,1194.0,3500:1,0.34,South Central
Dewey County,Geographic HPSA,17,Designated,2017-09-14,2021-07-02,0.8,5781.0,31.2,7226:1,Rural,"Dewey County, SD",Region 8,SD,46041,South Dakota,Dewey,2800.0,2981.0,3500:1,0.85,Rocky Mountains
Miner County,Geographic HPSA,13,Designated,1978-08-30,2021-09-10,0.0,2169.0,6.8,,Rural,"Miner County, SD",Region 8,SD,46097,South Dakota,Miner,0.0,2169.0,3500:1,0.62,Rocky Mountains
Harding County,Geographic HPSA,9,Designated,2021-08-17,2021-08-17,0.0,1292.0,7.1,,Rural,"Harding County, SD",Region 8,SD,46063,South Dakota,Harding,0.0,1292.0,3500:1,0.37,Rocky Mountains
Potter/Sully Counties,Geographic HPSA,14,Designated,1996-11-22,2021-07-02,0.0,3521.0,7.6,,Rural,"Potter County, SD",Region 8,SD,46107,South Dakota,Potter,0.0,3521.0,3500:1,1.01,Rocky Mountains
Potter/Sully Counties,Geographic HPSA,14,Designated,1996-11-22,2021-07-02,0.0,3521.0,7.6,,Rural,"Sully County, SD",Region 8,SD,46119,South Dakota,Sully,0.0,3521.0,3500:1,1.01,Rocky Mountains
Gates County,Geographic HPSA,16,Proposed For Withdrawal,2017-07-27,2021-07-30,0.0,11800.0,16.0,,Rural,"Gates County, NC",Region 4,NC,37073,North Carolina,Gates,0.0,11800.0,3500:1,3.37,Southeast
Montgomery County,Geographic HPSA,17,Proposed For Withdrawal,1978-05-26,2021-07-30,4.88,26666.0,26.2,5464:1,Rural,"Montgomery County, NC",Region 4,NC,37123,North Carolina,Montgomery,17080.0,9586.0,3500:1,4.01,Southeast
Camden County,Geographic HPSA,13,Designated,2016-11-30,2021-07-30,1.0,10551.0,9.1,10551:1,Rural,"Camden County, NC",Region 4,NC,37029,North Carolina,Camden,3500.0,7051.0,3500:1,2.01,Southeast
Washington County,High Needs Geographic HPSA,18,Designated,1980-01-22,2021-09-08,1.75,11727.0,22.2,6701:1,Rural,"Washington County, NC",Region 4,NC,37187,North Carolina,Washington,5250.0,6477.0,3000:1,2.16,Southeast
Currituck County,Geographic HPSA,15,Proposed For Withdrawal,1979-09-17,2021-09-10,2.4,24042.0,10.3,10018:1,Rural,"Currituck County, NC",Region 4,NC,37053,North Carolina,Currituck,8400.0,15642.0,3500:1,4.47,Southeast
Karnes County,High Needs Geographic HPSA,14,Proposed For Withdrawal,1985-10-31,2021-07-02,2.95,12211.0,24.0,4139:1,Rural,"Karnes County, TX",Region 6,TX,48255,Texas,Karnes,8850.0,3361.0,3000:1,1.12,South Central
Newton County,Geographic HPSA,19,Designated,2017-12-01,2021-07-02,0.9,13743.0,24.4,15270:1,Rural,"Newton County, TX",Region 6,TX,48351,Texas,Newton,3150.0,10593.0,3500:1,3.03,South Central
Irion County,Geographic HPSA,9,Designated,1988-08-31,2021-07-02,0.0,1620.0,14.8,,Rural,"Irion County, TX",Region 6,TX,48235,Texas,Irion,0.0,1620.0,3500:1,0.46,South Central
Upton County,Geographic HPSA,17,Designated,1980-10-21,2021-09-10,0.2,3591.0,14.0,17955:1,Rural,"Upton County, TX",Region 6,TX,48461,Texas,Upton,700.0,2891.0,3500:1,0.83,South Central
La Salle County,Geographic HPSA,18,Designated,2020-01-29,2021-09-10,1.2,6460.0,17.0,5383:1,Rural,"La Salle County, TX",Region 6,TX,48283,Texas,La Salle,4200.0,2260.0,3500:1,0.65,South Central
Kent County,Geographic HPSA,13,Designated,1988-08-31,2021-09-10,0.1,601.0,14.4,6010:1,Rural,"Kent County, TX",Region 6,TX,48263,Texas,Kent,350.0,251.0,3500:1,0.07,South Central
Blanco County,Geographic HPSA,10,Proposed For Withdrawal,1981-05-27,2021-09-10,2.0,10452.0,10.0,5226:1,Rural,"Blanco County, TX",Region 6,TX,48031,Texas,Blanco,7000.0,3452.0,3500:1,0.99,South Central
Franklin County,Geographic HPSA,7,Designated,2021-11-22,2021-11-22,2.95,10613.0,9.3,3598:1,Rural,"Franklin County, TX",Region 6,TX,48159,Texas,Franklin,10325.0,288.0,3500:1,0.08,South Central
Clay County,Geographic HPSA,13,Designated,2021-08-25,2021-08-25,0.0,10285.0,12.2,,Rural,"Clay County, TX",Region 6,TX,48077,Texas,Clay,0.0,10285.0,3500:1,2.94,South Central
Zavala County,High Needs Geographic HPSA,18,Designated,1985-11-08,2021-09-10,1.225,11875.0,33.7,9694:1,Rural,"Zavala County, TX",Region 6,TX,48507,Texas,Zavala,3675.0,8200.0,3000:1,2.735,South Central
Jasper County,Geographic HPSA,15,Designated,2018-07-18,2021-07-02,5.075,34449.0,18.4,6788:1,Rural,"Jasper County, TX",Region 6,TX,48241,Texas,Jasper,17762.0,16687.0,3500:1,4.765,South Central
McCook County,Geographic HPSA,13,Designated,2021-09-09,2021-09-09,0.1,5386.0,9.6,53860:1,Rural,"McCook County, SD",Region 8,SD,46087,South Dakota,McCook,350.0,5036.0,3500:1,1.44,Rocky Mountains
Butte County,Geographic HPSA,15,Designated,2014-06-04,2021-09-10,0.8,9840.0,11.4,12300:1,Rural,"Butte County, SD",Region 8,SD,46019,South Dakota,Butte,2800.0,7040.0,3500:1,2.01,Rocky Mountains
Hand County,Geographic HPSA,9,Designated,2021-08-17,2021-08-17,0.8,3191.0,8.2,3989:1,Rural,"Hand County, SD",Region 8,SD,46059,South Dakota,Hand,2800.0,391.0,3500:1,0.11,Rocky Mountains
Custer County,Geographic HPSA,12,Proposed For Withdrawal,2020-03-30,2021-09-10,2.0,8127.0,11.6,4064:1,Rural,"Custer County, SD",Region 8,SD,46033,South Dakota,Custer,7000.0,1127.0,3500:1,0.32,Rocky Mountains
Perkins County,Geographic HPSA,13,Designated,2017-10-27,2021-08-18,0.375,2844.0,9.1,7584:1,Rural,"Perkins County, SD",Region 8,SD,46105,South Dakota,Perkins,1312.0,1532.0,3500:1,0.435,Rocky Mountains
Marshall County,Geographic HPSA,13,Designated,2020-05-14,2021-09-10,0.575,4788.0,8.4,8327:1,Rural,"Marshall County, SD",Region 8,SD,46091,South Dakota,Marshall,2012.0,2776.0,3500:1,0.795,Rocky Mountains
Campbell County,Geographic HPSA,9,Designated,1996-05-01,2021-07-22,0.0,1474.0,4.0,,Rural,"Campbell County, SD",Region 8,SD,46021,South Dakota,Campbell,0.0,1474.0,3500:1,0.42,Rocky Mountains
McPherson County,Geographic HPSA,17,Designated,2021-08-17,2021-08-17,0.3,2196.0,13.8,7320:1,Rural,"McPherson County, SD",Region 8,SD,46089,South Dakota,McPherson,1050.0,1146.0,3500:1,0.33,Rocky Mountains
Bennett County,High Needs Geographic HPSA,19,Designated,2006-01-23,2021-08-06,0.0,3320.0,35.9,,Rural,"Bennett County, SD",Region 8,SD,46007,South Dakota,Bennett,0.0,3320.0,3000:1,1.11,Rocky Mountains
Turner County,Geographic HPSA,11,Proposed For Withdrawal,1978-08-30,2021-09-10,1.5,8091.0,10.3,5394:1,Rural,"Turner County, SD",Region 8,SD,46125,South Dakota,Turner,5250.0,2841.0,3500:1,0.81,Rocky Mountains
Anson County,High Needs Geographic HPSA,16,Designated,2018-12-31,2021-09-10,4.5,23092.0,19.4,5132:1,Rural,"Anson County, NC",Region 4,NC,37007,North Carolina,Anson,13500.0,9592.0,3000:1,3.2,Southeast
Hyde County,Geographic HPSA,17,Designated,2021-09-02,2021-09-02,0.0,4624.0,24.3,,Rural,"Hyde County, NC",Region 4,NC,37095,North Carolina,Hyde,0.0,4624.0,3500:1,1.32,Southeast
Caswell County,High Needs Geographic HPSA,15,Proposed For Withdrawal,2018-12-31,2021-07-30,3.55,22161.0,22.0,6243:1,Rural,"Caswell County, NC",Region 4,NC,37033,North Carolina,Caswell,10650.0,11511.0,3000:1,3.84,Southeast
Hoke County,High Needs Geographic HPSA,11,Proposed For Withdrawal,1978-05-26,2021-08-06,12.75,50438.0,22.8,3956:1,Partially Rural,"Hoke County, NC",Region 4,NC,37093,North Carolina,Hoke,38250.0,12188.0,3000:1,4.06,Southeast
Christian County,Geographic HPSA,9,Designated,2022-02-03,2022-02-03,24.025,84672.0,9.9,3524:1,Non-Rural,"Christian County, MO",Region 7,MO,29043,Missouri,Christian,84088.0,584.0,3500:1,0.165,Northern Plains
Gasconade County,Geographic HPSA,11,Designated,2022-02-03,2022-02-03,2.75,14421.0,8.9,5244:1,Rural,"Gasconade County, MO",Region 7,MO,29073,Missouri,Gasconade,9625.0,4796.0,3500:1,1.37,Northern Plains
Daviess County,Geographic HPSA,13,Designated,2022-05-24,2022-05-24,1.175,8083.0,14.5,6879:1,Rural,"Daviess County, MO",Region 7,MO,29061,Missouri,Daviess,4112.0,3971.0,3500:1,1.135,Northern Plains
Kanabec County,Geographic HPSA,13,Designated,2011-07-06,2021-09-02,2.5,15807.0,9.9,6323:1,Rural,"Kanabec County, MN",Region 5,MN,27065,Minnesota,Kanabec,8750.0,7057.0,3500:1,2.02,Great Lakes
Wabasha County,Geographic HPSA,7,Designated,2019-10-02,2021-09-10,4.875,21322.0,7.7,4374:1,Rural,"Wabasha County, MN",Region 5,MN,27157,Minnesota,Wabasha,17062.0,4260.0,3500:1,1.215,Great Lakes
Oscoda County,Geographic HPSA,17,Designated,2020-03-30,2021-09-10,0.0,8162.0,16.1,,Rural,"Oscoda County, MI",Region 5,MI,26135,Michigan,Oscoda,0.0,8162.0,3500:1,2.33,Great Lakes
Cass County,Geographic HPSA,10,Designated,2022-03-14,2022-03-14,9.3,51088.0,12.0,5493:1,Partially Rural,"Cass County, MI",Region 5,MI,26027,Michigan,Cass,32550.0,18538.0,3500:1,5.3,Great Lakes
Marshall County,Geographic HPSA,12,Designated,2001-10-19,2021-09-09,1.0,11280.0,10.5,11280:1,Rural,"Marshall County, IL",Region 5,IL,17123,Illinois,Marshall,3500.0,7780.0,3500:1,2.22,Great Lakes
Johnson County,Geographic HPSA,15,Designated,1978-05-12,2021-09-09,0.0,10181.0,10.7,,Rural,"Johnson County, IL",Region 5,IL,17087,Illinois,Johnson,0.0,10181.0,3500:1,2.91,Great Lakes
Rosebud County,Geographic HPSA,15,Designated,2013-08-23,2021-08-05,1.8,9024.0,17.0,5013:1,Rural,"Rosebud County, MT",Region 8,MT,30087,Montana,Rosebud,6300.0,2724.0,3500:1,0.78,Rocky Mountains
Teton County,Geographic HPSA,17,Designated,2019-12-31,2021-09-10,0.0,5980.0,13.2,,Rural,"Teton County, MT",Region 8,MT,30099,Montana,Teton,0.0,5980.0,3500:1,1.71,Rocky Mountains
Garfield County,Geographic HPSA,9,Designated,1983-06-08,2021-08-02,0.0,1036.0,5.9,,Rural,"Garfield County, MT",Region 8,MT,30033,Montana,Garfield,0.0,1036.0,3500:1,0.3,Rocky Mountains
McCone County,Geographic HPSA,11,Designated,1993-05-14,2021-08-05,0.0,1745.0,6.1,,Rural,"McCone County, MT",Region 8,MT,30055,Montana,McCone,0.0,1745.0,3500:1,0.5,Rocky Mountains
Daniels County,Geographic HPSA,11,Designated,2017-08-03,2021-07-02,0.0,1706.0,4.8,,Rural,"Daniels County, MT",Region 8,MT,30019,Montana,Daniels,0.0,1706.0,3500:1,0.49,Rocky Mountains
Prairie County,Geographic HPSA,9,Designated,1984-03-14,2021-08-04,0.0,1226.0,13.3,,Rural,"Prairie County, MT",Region 8,MT,30079,Montana,Prairie,0.0,1226.0,3500:1,0.35,Rocky Mountains
Powder River County,Geographic HPSA,11,Designated,1983-08-22,2021-08-04,0.0,1567.0,12.8,,Rural,"Powder River County, MT",Region 8,MT,30075,Montana,Powder River,0.0,1567.0,3500:1,0.45,Rocky Mountains
Jefferson County,Geographic HPSA,13,Designated,2018-05-04,2021-08-06,1.625,11747.0,7.8,7229:1,Rural,"Jefferson County, MT",Region 8,MT,30043,Montana,Jefferson,5688.0,6059.0,3500:1,1.735,Rocky Mountains
Park County,Geographic HPSA,9,Designated,2022-06-02,2022-06-02,4.2,16196.0,12.6,3856:1,Rural,"Park County, MT",Region 8,MT,30067,Montana,Park,14700.0,1496.0,3500:1,0.43,Rocky Mountains
Choteau County,Geographic HPSA,15,Designated,2017-12-18,2021-08-04,0.9,5688.0,17.0,6320:1,Rural,"Chouteau County, MT",Region 8,MT,30015,Montana,Chouteau,3150.0,2538.0,3500:1,0.73,Rocky Mountains
Golden Valley County,Geographic HPSA,8,Designated,1978-10-05,2021-08-05,0.0,728.0,16.6,,Rural,"Golden Valley County, MT",Region 8,MT,30037,Montana,Golden Valley,0.0,728.0,3500:1,0.21,Rocky Mountains
Stillwater County,Geographic HPSA,10,Proposed For Withdrawal,2008-12-17,2021-09-10,1.9,9144.0,7.2,4813:1,Rural,"Stillwater County, MT",Region 8,MT,30095,Montana,Stillwater,6650.0,2494.0,3500:1,0.71,Rocky Mountains
Phillips County,Geographic HPSA,11,Designated,1978-05-24,2021-08-06,1.0,4021.0,12.3,4021:1,Rural,"Phillips County, MT",Region 8,MT,30071,Montana,Phillips,3500.0,521.0,3500:1,0.15,Rocky Mountains
Petroleum County,Geographic HPSA,5,Designated,1978-05-24,2021-09-10,0.0,439.0,9.3,,Rural,"Petroleum County, MT",Region 8,MT,30069,Montana,Petroleum,0.0,439.0,3500:1,0.13,Rocky Mountains
Mineral County,Geographic HPSA,13,Designated,2006-06-14,2021-08-06,1.0,4175.0,18.6,4175:1,Rural,"Mineral County, MT",Region 8,MT,30061,Montana,Mineral,3500.0,675.0,3500:1,0.19,Rocky Mountains
Sweet Grass County,Geographic HPSA,7,Proposed For Withdrawal,1983-07-29,2021-09-10,0.9,3590.0,13.2,3989:1,Rural,"Sweet Grass County, MT",Region 8,MT,30097,Montana,Sweet Grass,3150.0,440.0,3500:1,0.13,Rocky Mountains
Hill-Blaine County,Geographic HPSA,14,Proposed For Withdrawal,2017-09-20,2021-08-04,4.51,22486.0,21.5,4986:1,Rural,"Hill County, MT",Region 8,MT,30041,Montana,Hill,15785.0,6701.0,3500:1,1.91,Rocky Mountains
Hill-Blaine County,Geographic HPSA,14,Proposed For Withdrawal,2017-09-20,2021-08-04,4.51,22486.0,21.5,4986:1,Rural,"Blaine County, MT",Region 8,MT,30005,Montana,Blaine,15785.0,6701.0,3500:1,1.91,Rocky Mountains
Broadwater County,Geographic HPSA,9,Designated,2021-08-04,2021-08-04,1.65,5897.0,8.5,3574:1,Rural,"Broadwater County, MT",Region 8,MT,30007,Montana,Broadwater,5775.0,122.0,3500:1,0.03,Rocky Mountains
Fallon County,Geographic HPSA,14,Designated,2021-07-02,2021-07-02,0.5,2825.0,8.8,5650:1,Rural,"Fallon County, MT",Region 8,MT,30025,Montana,Fallon,1750.0,1075.0,3500:1,0.31,Rocky Mountains
Judith Basin County,Geographic HPSA,10,Designated,1978-05-24,2021-08-02,0.0,1954.0,12.6,,Rural,"Judith Basin County, MT",Region 8,MT,30045,Montana,Judith Basin,0.0,1954.0,3500:1,0.56,Rocky Mountains
Clinton County,Geographic HPSA,11,Designated,1978-05-12,2021-09-08,6.125,35488.0,7.7,5794:1,Rural,"Clinton County, IL",Region 5,IL,17027,Illinois,Clinton,21438.0,14050.0,3500:1,4.015,Great Lakes
Mora County,Geographic HPSA,16,Designated,1978-10-27,2021-09-08,0.0,4522.0,19.9,,Rural,"Mora County, NM",Region 6,NM,35033,New Mexico,Mora,0.0,4522.0,3500:1,1.29,South Central
Harding County,Geographic HPSA,7,Designated,2021-11-02,2021-11-02,0.0,657.0,14.2,,Rural,"Harding County, NM",Region 6,NM,35021,New Mexico,Harding,0.0,657.0,3500:1,0.19,South Central
Lea County,Geographic HPSA,15,Designated,2021-11-02,2021-11-02,12.15,67623.0,15.8,5566:1,Rural,"Lea County, NM",Region 6,NM,35025,New Mexico,Lea,42525.0,25098.0,3500:1,7.17,South Central
Sierra County,High Needs Geographic HPSA,16,Designated,2021-12-16,2021-12-16,1.5,10690.0,26.6,7127:1,Rural,"Sierra County, NM",Region 6,NM,35051,New Mexico,Sierra,4500.0,6190.0,3000:1,2.06,South Central
Union County,Geographic HPSA,16,Designated,2014-06-09,2021-09-10,0.0,3452.0,19.4,,Rural,"Union County, NM",Region 6,NM,35059,New Mexico,Union,0.0,3452.0,3500:1,0.99,South Central
Socorro County,High Needs Geographic HPSA,14,Designated,2003-05-14,2021-09-08,3.75,16254.0,29.6,4334:1,Rural,"Socorro County, NM",Region 6,NM,35053,New Mexico,Socorro,11250.0,5004.0,3000:1,1.67,South Central
Quay County,High Needs Geographic HPSA,15,Designated,2021-11-02,2021-11-02,1.5,8143.0,20.3,5429:1,Rural,"Quay County, NM",Region 6,NM,35037,New Mexico,Quay,4500.0,3643.0,3000:1,1.21,South Central
Rio Arriba County,Geographic HPSA,17,Designated,2019-04-23,2021-09-10,8.28,38887.0,24.0,4697:1,Rural,"Rio Arriba County, NM",Region 6,NM,35039,New Mexico,Rio Arriba,28980.0,9907.0,3500:1,2.83,South Central
Torrance County,High Needs Geographic HPSA,19,Designated,2022-03-03,2022-03-03,1.2,15148.0,23.7,12623:1,Rural,"Torrance County, NM",Region 6,NM,35057,New Mexico,Torrance,3600.0,11548.0,3000:1,3.85,South Central
De Baca County,High Needs Geographic HPSA,14,Designated,1978-10-27,2021-09-10,0.0,2015.0,16.0,,Rural,"De Baca County, NM",Region 6,NM,35011,New Mexico,De Baca,0.0,2015.0,3000:1,0.67,South Central
Chaves County,High Needs Geographic HPSA,16,Proposed For Withdrawal,2003-04-10,2021-09-10,10.98,64016.0,21.8,5830:1,Rural,"Chaves County, NM",Region 6,NM,35005,New Mexico,Chaves,32940.0,31076.0,3000:1,10.36,South Central
Cibola County,High Needs Geographic HPSA,17,Proposed For Withdrawal,1984-10-24,2021-09-10,4.55,25451.0,29.0,5594:1,Rural,"Cibola County, NM",Region 6,NM,35006,New Mexico,Cibola,13650.0,11801.0,3000:1,3.93,South Central
Roosevelt County,High Needs Geographic HPSA,12,Designated,2021-12-16,2021-12-16,4.5,17763.0,24.9,3947:1,Rural,"Roosevelt County, NM",Region 6,NM,35041,New Mexico,Roosevelt,13500.0,4263.0,3000:1,1.42,South Central
San Juan County,High Needs Geographic HPSA,10,Designated,2022-03-03,2022-03-03,38.45,124418.0,20.9,3236:1,Partially Rural,"San Juan County, NM",Region 6,NM,35045,New Mexico,San Juan,115350.0,9068.0,3000:1,3.02,South Central
Colfax County,Geographic HPSA,20,Designated,2021-10-28,2021-10-28,1.6,12917.0,20.0,8073:1,Rural,"Colfax County, NM",Region 6,NM,35007,New Mexico,Colfax,5600.0,7317.0,3500:1,2.09,South Central
CATRON COUNTY,High Needs Geographic HPSA,14,Designated,1986-04-25,2021-09-10,0.4,3472.0,16.4,8680:1,Rural,"Catron County, NM",Region 6,NM,35003,New Mexico,Catron,1200.0,2272.0,3000:1,0.76,South Central
Chavez County,Geographic HPSA,9,Designated,2022-02-23,2022-02-23,17.18,63174.0,19.4,3677:1,Rural,"Chaves County, NM",Region 6,NM,35005,New Mexico,Chaves,60130.0,3044.0,3500:1,0.87,South Central
Lincoln County,Geographic HPSA,14,Designated,2021-11-02,2021-11-02,3.2,19170.0,10.5,5991:1,Rural,"Lincoln County, NM",Region 6,NM,35027,New Mexico,Lincoln,11200.0,7970.0,3500:1,2.28,South Central
Murray County,Geographic HPSA,12,Designated,1978-11-01,2021-09-07,1.725,8140.0,7.1,4719:1,Rural,"Murray County, MN",Region 5,MN,27101,Minnesota,Murray,6038.0,2102.0,3500:1,0.605,Great Lakes
Pope County,Geographic HPSA,10,Designated,2016-10-28,2021-09-02,2.855,10854.0,7.1,3802:1,Rural,"Pope County, MN",Region 5,MN,27121,Minnesota,Pope,9992.0,862.0,3500:1,0.245,Great Lakes
Lake County,Geographic HPSA,17,Proposed For Withdrawal,1991-12-18,2021-09-10,1.5,11031.0,30.4,7354:1,Rural,"Lake County, MI",Region 5,MI,26085,Michigan,Lake,5250.0,5781.0,3500:1,2.18,Great Lakes
Caldwell Parish,High Needs Geographic HPSA,13,Proposed For Withdrawal,2019-04-23,2021-09-10,2.4,9511.0,25.1,3963:1,Rural,"Caldwell Parish, LA",Region 6,LA,22021,Louisiana,Caldwell,7200.0,2311.0,3000:1,0.77,South Central
Claiborne Parish,High Needs Geographic HPSA,15,Designated,2022-02-04,2022-02-04,4.525,13772.0,33.5,3044:1,Rural,"Claiborne Parish, LA",Region 6,LA,22027,Louisiana,Claiborne,13575.0,197.0,3000:1,0.065,South Central
Vermilion Parish,Geographic HPSA,17,Proposed For Withdrawal,2018-09-06,2021-09-10,11.47,58563.0,17.3,5106:1,Partially Rural,"Vermilion Parish, LA",Region 6,LA,22113,Louisiana,Vermilion,40145.0,18418.0,3500:1,5.26,South Central
Madison Parish,Geographic HPSA,19,Proposed For Withdrawal,2018-04-13,2021-09-10,2.2,9611.0,37.7,4369:1,Rural,"Madison Parish, LA",Region 6,LA,22065,Louisiana,Madison,7700.0,1911.0,3500:1,0.55,South Central
West Carroll Parish,High Needs Geographic HPSA,13,Designated,2022-02-23,2022-02-23,3.0,10601.0,21.9,3534:1,Rural,"West Carroll Parish, LA",Region 6,LA,22123,Louisiana,West Carroll,9000.0,1601.0,3000:1,0.53,South Central
St. Bernard Parish,High Needs Geographic HPSA,16,Designated,2022-03-08,2022-03-08,4.15,45857.0,21.1,11050:1,Non-Rural,"St. Bernard Parish, LA",Region 6,LA,22087,Louisiana,St. Bernard,12450.0,33407.0,3000:1,11.14,South Central
Webster Parish,High Needs Geographic HPSA,17,Designated,2022-02-22,2022-02-22,9.065,38265.0,29.8,4221:1,Rural,"Webster Parish, LA",Region 6,LA,22119,Louisiana,Webster,27195.0,11070.0,3000:1,3.695,South Central
Winn Parish,High Needs Geographic HPSA,10,Designated,1979-02-26,2021-09-10,3.7,12411.0,18.6,3354:1,Rural,"Winn Parish, LA",Region 6,LA,22127,Louisiana,Winn,11100.0,1311.0,3000:1,0.44,South Central
Bienville Parish,High Needs Geographic HPSA,19,Designated,1978-05-31,2021-09-10,1.8,13226.0,28.4,7348:1,Rural,"Bienville Parish, LA",Region 6,LA,22013,Louisiana,Bienville,5400.0,7826.0,3000:1,2.61,South Central
Iberville Parish,Geographic HPSA,16,Designated,2022-02-09,2022-02-09,6.2,29497.0,18.2,4758:1,Non-Rural,"Iberville Parish, LA",Region 6,LA,22047,Louisiana,Iberville,21700.0,7797.0,3500:1,2.23,South Central
Cameron Parish,Geographic HPSA,15,Designated,2017-10-27,2021-09-10,0.0,6911.0,9.8,,Rural,"Cameron Parish, LA",Region 6,LA,22023,Louisiana,Cameron,0.0,6911.0,3500:1,1.97,South Central
Catahoula Parish,High Needs Geographic HPSA,19,Designated,2001-09-24,2021-09-10,0.25,8483.0,22.1,33932:1,Rural,"Catahoula Parish, LA",Region 6,LA,22025,Louisiana,Catahoula,750.0,7733.0,3000:1,2.58,South Central
Adams County,Geographic HPSA,11,Proposed For Withdrawal,2020-08-17,2021-09-10,0.6,3662.0,11.4,6103:1,Rural,"Adams County, IA",Region 7,IA,19003,Iowa,Adams,2100.0,1562.0,3500:1,0.45,Northern Plains
Butler County,Geographic HPSA,10,Designated,2022-06-22,2022-06-22,2.0,14344.0,10.3,7172:1,Rural,"Butler County, IA",Region 7,IA,19023,Iowa,Butler,7000.0,7344.0,3500:1,2.1,Northern Plains
Cherokee County,Geographic HPSA,7,Designated,2023-01-19,2023-01-19,3.0,10822.0,11.1,3607:1,Rural,"Cherokee County, IA",Region 7,IA,19035,Iowa,Cherokee,10500.0,322.0,3500:1,0.09,Northern Plains
Henry County,Geographic HPSA,12,Designated,2023-05-24,2023-05-24,3.4,18349.0,10.7,5397:1,Rural,"Henry County, IA",Region 7,IA,19087,Iowa,Henry,11900.0,6449.0,3500:1,1.84,Northern Plains
Sac County,Geographic HPSA,10,Designated,2011-12-09,2021-09-09,1.875,9590.0,9.8,5115:1,Rural,"Sac County, IA",Region 7,IA,19161,Iowa,Sac,6562.0,3028.0,3500:1,0.865,Northern Plains
